num_skills,required_skill_count,skills_matching,years_of_experience,experience_gap,education_duration_years,degree_level,num_certifications,num_languages,num_companies,num_responsibilities,job_responsibility_count,education_match,age_requirement_met,matched_score
21,0,0,7,6,0,1,0,0,1,1,1,1,0,0.85
10,0,0,7,2,3,2,0,0,1,1,1,1,0,0.75
14,1,0,8,5,0,1,0,0,1,1,1,1,0,0.41666666
36,1,0,15,14,0,0,0,0,5,1,1,0,1,0.76
32,1,0,10,6,0,1,0,0,5,1,1,1,0,0.65
17,1,0,20,20,0,1,0,0,2,1,1,1,0,0.85
6,1,0,7,3,0,1,0,0,1,1,1,1,0,0.65
52,1,0,13,9,0,1,0,1,3,1,1,1,0,0.65
18,1,0,7,5,0,1,0,0,1,1,1,1,1,0.55
17,1,0,7,6,3,0,0,0,1,1,1,0,1,0.38333333
36,1,0,31,26,20,2,0,0,3,1,1,1,1,0.75
9,1,0,6,1,0,0,0,0,1,1,1,0,1,0.65
7,0,0,6,1,0,0,0,0,2,1,1,1,0,0.65
22,1,0,5,0,6,1,12,0,2,1,1,1,1,0.31666666
10,1,0,5,3,0,1,0,0,2,1,1,1,1,0.5833333
13,1,0,6,5,0,1,0,0,1,1,1,1,1,0.85
28,1,0,12,8,0,0,0,0,4,1,1,0,0,0.85
8,1,0,7,4,0,1,0,0,1,1,1,1,0,0.62666667
10,1,0,5,0,0,1,0,0,2,1,1,1,1,0.33333334
16,0,0,7,4,0,1,0,0,1,1,1,1,1,0.65
13,1,0,20,18,0,1,0,0,3,1,1,1,1,0.21666667
13,1,0,19,16,0,0,0,0,3,1,1,0,1,0.85
11,1,0,8,5,0,1,0,0,1,1,1,1,0,0.65
48,0,0,12,12,0,0,0,0,6,1,1,0,1,0.85
16,1,0,6,5,2,0,0,0,1,1,1,1,0,0.65
10,1,0,9,7,3,2,0,0,3,1,1,1,1,0.65
15,1,0,7,5,2,0,0,0,1,1,1,1,0,0.85
14,1,0,8,8,0,1,0,0,1,1,1,1,1,0.5966667
55,0,0,17,12,0,0,0,0,4,1,1,1,0,0.85
13,1,0,6,6,0,1,0,0,1,1,1,1,0,0.75
14,1,0,7,7,0,1,0,0,1,1,1,1,1,0.38333333
11,1,0,7,4,0,1,0,0,3,1,1,1,0,0.85
113,1,0,13,10,7,0,0,0,3,1,1,1,0,0.85
8,1,0,7,3,0,1,0,0,1,1,1,1,0,0.65
11,0,0,10,7,7,3,0,0,5,1,1,1,1,0.85
12,1,0,8,4,0,1,0,0,1,1,1,1,0,0.75
7,1,0,6,6,2,0,1,0,1,1,1,0,0,0.81666666
14,1,0,7,6,0,1,0,0,1,1,1,1,0,0.62333333
3,1,0,6,1,0,1,1,0,2,1,1,1,0,0.71666664
35,1,0,17,17,8,0,0,0,4,1,1,1,0,0.65
36,1,0,7,7,0,0,0,0,3,1,1,1,1,0.78333336
11,0,0,7,4,2,1,0,0,1,1,1,1,1,0.71666664
41,1,0,16,1,1929,0,0,0,3,1,1,1,1,0.55
27,0,0,15,12,0,1,0,0,2,1,1,1,0,0.85
36,1,0,9,7,0,2,0,0,2,1,1,1,1,0.85
9,1,0,9,4,5,1,1,0,3,1,1,1,0,0.78333336
26,1,0,11,6,0,0,0,0,4,1,1,0,0,0.71666664
